employee_number,gender,birth_year,age,marital_status,dist_home,job_title,department,departured,year_at_comp,standard_hours,remote,business_travel,over_time,job_level,stock_opt_level,traning_times_last_year,perf_rate,year_last_promotion,year_current_mngr,education_field,education_scale,annual_salary,monthly_income,daily_rate,perc_salary_hike,env_sat_rate,job_involvement,job_sat_rate,relationship_sat_rate,work_life_balance,num_comp_worked,tot_working_year
14,1,1982,41,Married,12, reseARCh DIrEctoR ,,Yes,22,Full Time,False,travel_rarely,No,5,0,0,"3,0",15,8,,3,"195450,00$",,2016.547619047619,12,2,3,3,4,"3,0",1,
15,0,1968,55,Single,14, RESeaRCH dirEctor ,,No,24,,True,,No,5,0,3,"3,0",2,15,Medical,4,,"15943,72$",1973.9841269841268,11,3,4,2,4,"3,0",8,
16,1,1983,40,,2, MAnAgeR ,,No,20,Full Time,0,travel_rarely,No,5,0,2,"3,0",1,12,,4,"180410,00$","15034,17$",1861.373015873016,14,3,3,3,4,"3,0",0,
17,0,1965,58,Single,2, reSeARCh DIrEcToR ,,Yes,31,Full Time,0,travel_rarely,Yes,5,0,2,"3,0",13,8,,4,"192460,00$","16038,33$",1985.6984126984123,12,4,3,2,4,"3,0",7,"40,0"
18,1,1977,46,,2, MAnaGER ,,No,26,,False,travel_rarely,,4,0,2,"4,0",15,9,,3,,"12783,92$",1582.7713464696226,23,3,3,1,1,"3,0",8,"28,0"
19,0,1988,35,Married,-13, REseArcH sciENtiST ,,No,16,,False,,,2,0,2,"3,0",1,10,Life Sciences,5,,"4492,84$",556.2566609977324,11,2,4,1,4,"3,0",1,
20,1,1983,40,,15, MAnUFaCtUring dIRecTOr ,,No,18,,True,travel_rarely,,3,2,2,"3,0",14,12,Life Sciences,3,,"8339,32$",1032.4872861766066,13,1,2,3,4,,1,"18,0"
21,0,1978,45,,1, heaLtHcArE repResENtATiVe , Research & Development ,No,23,Full Time,False,non-travel,,3,1,3,"4,0",14,4,,1,"107480,00$","8956,67$",1108.920634920635,23,3,2,3,4,"2,0",3,"25,0"
22,1,1990,33,Single,1, RESEARCH dIrECtor ,,No,15,Part Time,True,,Yes,3,0,1,"3,0",8,12,Life Sciences,2,"100071,84$",,1032.4872861766066,12,1,3,4,3,"3,0",1,"15,0"
23,1,1987,36,Divorced,8, hEaltHCarE ReprESENTAtIvE ,,No,17,,1,,,3,3,2,,12,8,,3,"100071,84$",,1032.4872861766066,13,3,3,3,2,"3,0",1,"17,0"
24,1,1976,47,Married,2, maNagEr ,,No,26,Full Time,False,,,4,1,3,"3,0",3,0,Other,2,"167520,00$",,1728.3809523809523,11,3,3,4,3,"2,0",1,
25,0,1987,36,,-42, SALEs exeCUtIVe ,,No,18,Full Time,True,travel_rarely,,2,1,1,"3,0",4,11,Life Sciences,2,"62010,00$","5167,50$",639.7857142857143,14,42,3,4,4,,1,"18,0"
26,1,1988,35,Married,9, manUfACtURing dirEctOR ,,No,17,Part Time,False,,Yes,3,1,2,"4,0",5,15,Life Sciences,3,"100071,84$",,1032.4872861766066,20,4,2,3,2,"3,0",1,"17,0"
27,1,1971,52,Married,2, mAnageR ,,Yes,32,Full Time,1,,No,5,1,3,"3,0",6,9,,1,"198450,00$",,2047.5,15,1,1,4,4,"3,0",1,"33,0"
28,1,1987,36,Single,2, MaNufActURing dIrecTOr ,,No,16,,0,,Yes,2,0,2,"3,0",5,12,Life Sciences,4,"53914,11$","4492,84$",556.2566609977324,11,3,3,2,4,"3,0",9,"18,0"
29,0,1990,33,Married,28, laBoratOry tecHNiCiaN ,,No,15,Part Time,Yes,travel_rarely,,2,1,3,"3,0",5,7,Life Sciences,4,"53914,11$","4492,84$",556.2566609977324,12,2,3,3,2,"3,0",1,"15,0"
30,0,1989,34,,10, saLEs exEcutIVe , Sales ,No,15,Part Time,1,non-travel,Yes,2,1,3,"3,0",0,7,Life Sciences,3,"40010,00$","3334,17$",412.8015873015873,14,4,3,3,3,"3,0",1,"15,0"
31,1,1982,41,Divorced,-37, Sales ExECuTIVe , Sales ,No,22,Full Time,Yes,,,3,1,3,"3,0",13,5,,1,"104470,00$","8705,83$",1077.8650793650793,13,37,3,3,4,"4,0",0,
32,0,1976,forty-seven,,25, heALthCArE RePResEntaTIVe , Research & Development ,No,17,,Yes,,,3,0,3,"4,0",12,11,Medical,3,,"8339,32$",1032.4872861766066,23,1,3,3,2,"3,0",2,"25,0"
33,1,1970,53,,5, ManAgER ,,No,14,Full Time,Yes,travel_rarely,,5,1,3,"3,0",4,8,,3,"191324,62$","15943,72$",1973.9841269841268,11,3,3,3,4,"2,0",4,"26,0"
34,0,1988,35,Single,1, salEs EXeCUtIvE ,,No,15,Part Time,0,,No,2,0,2,,2,8,Marketing,4,"53914,11$","4492,84$",556.2566609977324,14,3,2,1,2,"3,0",0,"16,0"
35,1,1989,34,Single,6, rEsEARcH SCIeNTist ,,No,16,,True,travel_rarely,,2,0,3,"3,0",2,10,Other,4,,"4492,84$",556.2566609977324,14,1,3,3,3,"3,0",1,"16,0"
36,1,1977,46,Divorced,1, SALEs eXECuTive ,,No,24,Part Time,Yes,travel_rarely,No,3,3,2,"4,0",15,7,,2,"100071,84$","8339,32$",1032.4872861766066,25,2,3,1,3,"3,0",1,"24,0"
37,1,1980,43,Married,16, ManagEr ,,No,17,Full Time,1,,,4,1,3,"4,0",1,9,,3,"160640,00$",,1657.3968253968255,22,4,3,4,3,"3,0",5,"22,0"
38,0,1987,36,Married,6, lABORAtOry tECHnIcIan , Research & Development ,No,15,Full Time,True,,,1,1,4,"3,0",10,11,Life Sciences,3,"32100,00$","2675,00$",331.1904761904762,11,4,3,4,3,"3,0",0,"16,0"
39,1,1963,60,Married,28, Sales exEcUtiVe ,,No,18,Full Time,1,travel_frequently,No,3,0,5,"3,0",13,11,,3,"102660,00$","8555,00$",1059.1904761904764,19,3,2,1,4,"4,0",4,"22,0"
40,0,1983,40,Married,5, saLes eXEcUTIVE ,,No,18,Full Time,0,travel_frequently,Yes,3,1,2,"4,0",1,12,,4,"104750,00$","8729,17$",1080.7539682539684,21,4,2,1,3,"3,0",5,"20,0"
41,1,1991,32,Married,4, maNufactUring DIrEcToR ,,No,14,Full Time,0,travel_rarely,No,2,1,3,"3,0",6,8,,3,"61620,00$",,635.7619047619048,12,3,2,3,3,"3,0",1,"14,0"
42,0,1982,41,Single,-35, LaboRAtorY TecHNiCiAn ,,No,18,Full Time,1,travel_rarely,Yes,1,0,3,,2,17,,3,"47210,00$","3934,17$",487.0873015873016,13,35,3,1,3,"3,0",2,"20,0"
43,0,1970,53,Divorced,2, ManageR ,,No,17,Full Time,False,,No,4,1,3,"3,0",15,2,Medical,2,"153407,07$","12783,92$",1582.7713464696226,13,3,3,3,3,"4,0",6,"22,0"
44,1,1987,36,Single,16, LABorAToRY tECHnIciAN ,,Yes,17,Part Time,Yes,travel_rarely,,1,0,1,"3,0",15,14,,4,"28111,13$",,290.03550973654063,16,3,4,1,3,"3,0",1,"18,0"
45,1,1977,46,Divorced,8, RESEarch SCIenTisT ,,No,16,Part Time,0,,Yes,2,3,2,"4,0",1,7,Life Sciences,4,"46150,00$","3845,83$",476.1507936507937,23,4,2,1,1,"3,0",8,
46,0,1985,38,Married,1, SalES exECUTIve ,,No,15,,1,travel_rarely,No,2,2,3,"3,0",5,8,,4,"53914,11$","4492,84$",556.2566609977324,15,4,3,2,1,,0,"16,0"
47,1,1972,51,Single,1, heAltHCare rEPrESEntaTIvE ,,No,13,Part Time,True,,,3,0,1,"4,0",12,8,,4,"100071,84$","8339,32$",1032.4872861766066,20,1,2,1,3,"2,0",3,"23,0"
48,0,1980,43,Married,26, maNaGeR ,,No,25,Full Time,1,,Yes,4,2,3,"3,0",4,12,,2,"169590,00$","14132,50$",1749.7380952380954,12,3,3,4,4,"4,0",1,"25,0"
49,1,1986,37,Single,1, ResEARCh SciENTist ,,No,17,Part Time,Yes,,No,1,0,3,"3,0",5,7,Life Sciences,3,"28111,13$",,290.03550973654063,12,4,3,4,2,"3,0",1,
50,1,1991,32,Married,8, salES ExecuTIve ,,No,13,Part Time,True,travel_rarely,Yes,2,0,2,"3,0",11,9,Technical Degree,2,"53914,11$",,556.2566609977324,11,3,2,2,4,"3,0",1,
51,1,1985,38,Married,1, ReSeaRch directOR ,,No,15,Part Time,False,,,3,1,3,"3,0",5,11,,3,"100071,84$","8339,32$",1032.4872861766066,13,4,3,1,2,"3,0",1,"15,0"
52,1,1977,46,,3, mAnAgER ,,No,13,Full Time,Yes,,No,4,1,2,"3,0",5,1,Life Sciences,3,"153407,07$","12783,92$",1582.7713464696226,12,3,3,2,4,"4,0",8,"23,0"
53,0,1988,35,Married,10, sAles EXecuTive ,,Yes,13,,0,travel_rarely,,3,0,3,"3,0",6,0,Medical,3,,"8588,33$",1063.3174603174605,17,4,2,1,3,,9,"15,0"
54,1,1980,43,Married,6, MaNAGEr ,,No,16,,Yes,,No,5,0,2,"3,0",6,14,Medical,3,,"15943,72$",1973.9841269841268,13,1,2,3,4,"3,0",7,"21,0"
55,0,1967,56,Divorced,1, hEALThcArE REPrESeNTATive ,,No,13,,Yes,non-travel,No,2,1,2,,1,9,Life Sciences,4,,"4492,84$",556.2566609977324,21,3,3,3,1,"2,0",1,
56,0,1987,36,divorced,15, SAlES ExECuTIVe ,,No,15,Full Time,1,non-travel,No,2,1,4,"4,0",11,11,Marketing,4,"54060,00$","4505,00$",557.7619047619048,24,4,1,4,1,"2,0",1,
57,1,1985,38,,6, rEseARch SCieNtIsT ,,No,13,Part Time,Yes,,,2,3,3,"3,0",1,9,Medical,3,"53914,11$",,556.2566609977324,12,2,1,4,4,"3,0",7,"17,0"
58,1,1974,49,,-26, maNufActUrInG DIrECtOr ,,No,15,Part Time,0,,No,2,0,2,"3,0",5,11,Medical,4,"53914,11$",,556.2566609977324,14,3,3,1,3,"2,0",1,"16,0"
59,1,1984,39,Married,4, sALEs eXeCuTIvE ,,No,15,Full Time,Yes,travel_rarely,,2,1,1,"3,0",5,9,Life Sciences,4,"59020,00$","4918,33$",608.936507936508,14,4,2,3,3,"4,0",4,"17,0"
60,0,1983,40,Married,4, SALES eXECUtiVE ,,No,12,Full Time,Yes,,No,3,1,2,,2,11,,4,"108550,00$",,1119.9603174603176,11,3,2,4,1,"2,0",7,"15,0"
61,0,1987,36,Single,5, lAboratORy TeChNiCiaN ,,No,13,Full Time,1,,No,2,0,3,"3,0",3,7,,2,"59140,00$","4928,33$",610.1746031746031,16,4,3,2,4,"4,0",8,"16,0"
62,1,1986,37,Married,25, RESEaRCh sCIENtIst ,,No,13,,0,,Yes,2,2,2,"3,0",10,7,,5,"53914,11$",,556.2566609977324,15,2,3,3,1,"3,0",3,"15,0"
63,0,1988,35,,6, REsEarcH sCieNTISt ,,No,17,Full Time,Yes,,,2,0,3,"3,0",11,8,,4,"66460,00$","5538,33$",685.6984126984128,13,2,1,4,2,"3,0",1,
64,0,1990,33,Divorced,6, heaLthCaRE ReprEseNtaTiVe ,,No,13,Part Time,False,travel_frequently,No,2,1,2,"4,0",4,7,Life Sciences,3,"53914,11$","4492,84$",556.2566609977324,23,3,3,4,3,"1,0",3,"15,0"
65,0,1973,50,Married,24, ManufactUrINg DiReCTOr , Research & Development ,No,12,Full Time,False,travel_rarely,Yes,4,1,2,"3,0",1,5,,3,"139730,00$",,1441.65873015873,18,4,3,3,4,"3,0",3,"22,0"
66,0,1975,48,Single,4, HEaLthcAre REPrEsEntaTIvE ,,No,15,Part Time,Yes,travel_rarely,,3,0,3,,4,8,,4,"100071,84$",,1032.4872861766066,14,3,2,3,2,"3,0",7,"27,0"
67,1,1979,44,Married,28, SaleS eXEcUtIVE , Sales ,No,12,,1,travel_rarely,,4,1,2,"3,0",11,11,,3,,"11100,00$",1374.2857142857142,18,4,4,4,3,"3,0",3,
68,0,1979,44,Single,29, reseaRCH ScIEntIst ,,No,20,Part Time,Yes,travel_rarely,,2,0,3,"4,0",13,17,,4,"53914,11$",,556.2566609977324,25,4,3,4,2,"3,0",1,
69,1,1983,40,,-25, HEAlTHcaRe ReprESeNtatIVe ,,No,12,Part Time,True,,No,2,3,0,"4,0",11,8,,1,"53914,11$",,556.2566609977324,20,25,4,3,2,"3,0",5,"15,0"
70,1,1989,34,Single,2, HeaLthCare repRESeNTaTIVE ,,No,14,Full Time,True,travel_rarely,,2,0,2,"3,0",4,11,,4,"66870,00$","5572,50$",689.9285714285714,11,3,3,4,4,"4,0",1,"14,0"
71,1,1988,35,,8, HEaLthcaRe rEprEsEnTAtiVe , Research & Development ,No,14,Part Time,True,non-travel,,2,1,5,"3,0",2,9,,4,"53914,11$","4492,84$",556.2566609977324,12,3,3,3,4,"3,0",1,
72,1,1973,50,,17, ReseArcH diReCtOr ,,No,14,Part Time,0,,No,3,3,3,"3,0",1,11,Life Sciences,5,"100071,84$",,1032.4872861766066,15,4,2,1,3,"3,0",5,
73,1,1974,49,,6, healthcArE repReSEnTaTive ,,No,15,Full Time,Yes,,,4,1,3,"3,0",2,12,Life Sciences,1,"153407,07$","12783,92$",1582.7713464696226,19,3,2,3,2,"3,0",2,
74,0,1985,38,,1, reSeARch sCientIst ,,No,13,Part Time,True,travel_frequently,No,2,2,4,"3,0",2,9,Life Sciences,3,"47350,00$",,488.531746031746,15,4,3,4,4,,7,"19,0"
75,0,1990,33,,21, lAbOrAtory tecHnIciaN ,,No,14,Part Time,True,,No,1,3,6,"3,0",2,13,,3,"28111,13$",,290.03550973654063,18,2,4,2,4,,1,"14,0"
76,1,1976,47,Divorced,4, maNufACTURING DIREctOr ,,No,22,Part Time,Yes,travel_rarely,Yes,3,1,4,,14,10,Life Sciences,3,"100071,84$","8339,32$",1032.4872861766066,12,3,2,2,3,"3,0",8,
77,1,1985,38,Divorced,8, rESeArCH sCientIST , Research & Development ,No,20,,0,,,2,1,3,"3,0",0,7,,3,,"4492,84$",556.2566609977324,16,4,2,2,3,"3,0",1,"20,0"
78,1,1986,37,,10, ResEarCh dIReCtOr ,,No,16,Part Time,Yes,travel_rarely,Yes,3,1,2,"4,0",6,8,Life Sciences,3,"100071,84$","8339,32$",1032.4872861766066,25,3,4,4,1,"3,0",1,"16,0"
79,0,1993,30,Married,2, hEALtHcare REpREsenTAtiVe ,,No,11,Part Time,Yes,,No,2,3,3,,10,8,,3,"53914,11$",,556.2566609977324,19,3,2,4,1,"3,0",1,"11,0"
80,0,1965,fifty-eight,Single,-18, saLes ExECutiVE ,,No,37,Full Time,1,travel_rarely,,4,0,1,"3,0",1,8,,4,"138720,00$","11560,00$",1431.2380952380954,13,4,3,3,3,"2,0",0,"38,0"
81,1,1989,34,Single,5, mAnagER ,,No,11,,0,travel_rarely,,3,0,6,"3,0",5,8,,3,,"8339,32$",1032.4872861766066,12,3,2,1,4,"3,0",2,"14,0"
82,1,1965,58,Married,23, hEaLtHCARE ReprESENTATivE ,,Yes,40,Part Time,Yes,travel_rarely,,3,1,3,"3,0",15,6,Medical,4,"100071,84$","8339,32$",1032.4872861766066,12,4,3,4,4,"2,0",1,"40,0"
83,0,1985,38,Divorced,3, Sales exECuTIVE ,,No,16,,1,,,3,2,6,"3,0",5,13,Life Sciences,3,,"8339,32$",1032.4872861766066,12,1,3,3,3,"2,0",0,
84,1,1994,29,Married,1, SalEs eXecUTIVe ,,No,11,Part Time,True,travel_frequently,,3,1,5,"3,0",4,1,,1,"100071,84$","8339,32$",1032.4872861766066,14,2,3,4,4,"3,0",1,"11,0"
85,0,1968,55,Single,1, manAger ,,No,36,Full Time,1,travel_rarely,,5,0,2,"3,0",4,13,Medical,3,"190450,00$","15870,83$",1964.9603174603176,14,4,3,1,3,"3,0",0,"37,0"
86,0,1982,41,,-10, MAnager ,,No,22,,Yes,,,4,0,2,"3,0",0,4,,4,,"13345,83$",1652.34126984127,19,4,3,2,2,"3,0",1,
87,0,1984,39,,1, healTHCAre rePREseNtATiVE , Research & Development ,No,18,Part Time,0,travel_rarely,No,3,3,5,,3,7,,3,"96130,00$","8010,83$",991.8174603174604,17,3,4,4,1,"2,0",0,"19,0"
88,0,1985,38,,15, rESEaRCh DirEcToR ,,No,11,Full Time,1,,,3,1,3,"3,0",2,9,Life Sciences,2,"115100,00$",,1187.5396825396826,14,3,2,4,2,"3,0",0,
89,0,1980,43,,12, researCH DIrECtoR ,,No,25,Full Time,True,,No,4,1,3,"3,0",3,9,,3,"153407,07$","12783,92$",1582.7713464696226,11,1,2,2,3,,1,
90,1,1992,31,Married,-30, MaNufactuRINg dIrecTor ,,No,13,,Yes,,No,2,1,5,"3,0",3,12,,2,,"3588,33$",444.26984126984127,12,2,3,1,2,"1,0",1,"13,0"
91,0,1973,50,Marreid,-27, mANaGer , Research & Development ,No,27,Full Time,True,travel_rarely,No,4,1,2,"3,0",15,7,Life Sciences,4,"170460,00$","14205,00$",1758.7142857142858,15,27,2,3,2,"3,0",0,"28,0"
92,0,1988,35,Married,25, MaNUFACTuRing dirECTOr ,,No,13,Part Time,0,,No,3,0,2,,4,8,Technical Degree,3,"100071,84$","8339,32$",1032.4872861766066,16,4,2,2,1,"3,0",3,
93,0,1976,47,,16, manufaCtURiNG DirecToR ,,No,19,,Yes,,Yes,2,0,3,"3,0",2,7,,4,,"4222,50$",522.7857142857143,19,3,4,3,3,,1,"20,0"
94,1,1988,35,Divorced,25, HEAltHCaRe REPreseNTatIve , Research & Development ,No,16,Part Time,1,,Yes,3,1,3,,10,1,,4,"100071,84$","8339,32$",1032.4872861766066,11,3,3,3,3,"2,0",1,
95,0,1983,40,Married,20, hEaLtHCaRe reprEsenTaTive ,,No,11,Part Time,1,travel_rarely,,3,1,6,"4,0",11,1,,4,"100071,84$",,1032.4872861766066,20,1,3,4,4,"3,0",4,"14,0"
96,1,1978,45,Married,9, SaLeS eXECUTivE , Sales ,No,15,Part Time,0,,,2,1,2,"3,0",4,12,Life Sciences,4,"53914,11$","4492,84$",556.2566609977324,13,2,2,3,4,"3,0",1,"15,0"
97,0,1990,33,Married,9, reSeARCH SCIEnTiST , Research & Development ,No,14,,False,,,1,1,5,"3,0",4,10,Medical,3,"28111,13$",,290.03550973654063,13,1,3,4,2,"3,0",0,"15,0"
98,0,1987,36,Married,3, ResEArCH sCIEntisT ,,No,11,Full Time,False,travel_frequently,No,1,0,2,"3,0",0,7,,3,"36920,00$","3076,67$",380.9206349206349,12,3,3,2,3,"2,0",1,"12,0"
99,1,1978,45,,-13, maNAger ,,Yes,24,Full Time,True,,Yes,5,0,2,"3,0",1,11,Marketing,3,"191324,62$","15943,72$",1973.9841269841268,16,1,1,2,1,"3,0",2,"26,0"
100,0,1972,51,,-27, ManAgeR ,,No,29,Full Time,0,travel_frequently,Yes,5,1,5,,11,10,,3,"198470,00$",,2047.7063492063487,24,27,3,2,1,"2,0",4,
101,0,1989,34,,7, SaLes rEPREsENtAtivE ,,No,11,Part Time,0,travel_rarely,Yes,1,1,4,"4,0",5,7,Technical Degree,2,"23080,00$",,238.12698412698413,25,2,3,3,2,"3,0",0,"12,0"
102,0,1980,43,,15, ReSearch DiRecTOR , Research & Development ,No,14,Full Time,1,travel_rarely,No,4,1,3,"4,0",6,11,,2,"153407,07$",,1582.7713464696226,24,3,2,3,1,"3,0",1,
103,0,1989,34,,5, LABoRATOry teChnicIan ,,No,15,Part Time,0,,No,2,1,3,"3,0",4,13,Medical,2,"53914,11$","4492,84$",556.2566609977324,14,2,2,4,3,,1,
104,0,1985,38,Divorced,2, huMan RESOURcEs ,,No,11,Part Time,1,,No,1,3,3,"3,0",3,8,,3,"28111,13$","2342,59$",290.03550973654063,13,1,3,2,4,"3,0",5,"13,0"
105,0,1975,48,,10, ResearcH DiReCtOR ,,No,22,Full Time,0,,No,5,0,3,"3,0",12,9,,3,"191324,62$",,1973.9841269841268,12,4,2,2,4,"3,0",4,"29,0"
106,0,1989,34,Married,22, resEaRCh SciEnTist , Research & Development ,No,15,Full Time,False,,Yes,2,0,3,"3,0",6,11,Other,4,"57470,00$","4789,17$",592.9444444444445,15,3,2,4,2,"3,0",1,"16,0"
107,1,1991,32,,-31, SAleS eXEcUtIve ,,No,14,Full Time,Yes,travel_rarely,No,3,2,3,"3,0",5,7,,4,"104220,00$","8685,00$",1075.2857142857142,19,31,3,4,3,"3,0",1,"14,0"
108,1,1994,29,Divorced,21, maNufaCturing direcTOr ,,No,10,,0,travel_rarely,No,3,1,1,"3,0",8,8,Life Sciences,4,,"8339,32$",1032.4872861766066,11,2,4,1,3,"3,0",1,"10,0"
109,0,1977,46,Married,1, HEalThCare REPreseNTAtive ,,No,10,,False,,Yes,3,1,5,"3,0",9,5,Medical,3,"100071,84$",,1032.4872861766066,13,3,2,1,3,"2,0",2,"21,0"
110,0,1993,30,Married,9, hUmaN REsoUrCes , Human Resources ,No,11,Full Time,0,,Yes,2,0,2,"3,0",4,7,,3,"63470,00$","5289,17$",654.8492063492064,19,3,3,4,4,"1,0",0,
111,0,1978,45,,9, LaboRaTORY TechnICiAn ,,No,17,Part Time,Yes,,No,2,1,2,"3,0",0,15,Life Sciences,3,"23480,00$","1956,67$",242.25396825396828,18,2,3,2,3,,8,"20,0"
112,1,1993,30,,5, SalES ExeCuTIVe ,,No,10,Part Time,True,travel_rarely,No,3,1,2,"3,0",7,4,,3,"100071,84$","8339,32$",1032.4872861766066,12,2,3,4,3,"3,0",2,
113,0,1993,30,,9, lABOrAtorY tEcHNICian ,,No,12,Part Time,Yes,,No,2,2,4,,6,10,,3,"30720,00$",,316.95238095238096,11,3,3,1,3,"3,0",1,"12,0"
114,0,1989,34,Married,-29, manUFACTuRiNg dIrECToR ,,No,10,,False,travel_frequently,,2,0,2,"3,0",1,9,,1,,"4492,84$",556.2566609977324,17,4,2,3,3,"2,0",1,"10,0"
115,0,1972,51,Married,8, RESEArCh dIRECTOR ,,No,10,Full Time,0,travel_rarely,No,3,2,5,"3,0",4,7,Life Sciences,4,"124900,00$","10408,33$",1288.6507936507935,16,2,2,2,4,"1,0",5,"16,0"
116,0,1989,34,,-39, MAnufACturiNg dIReCtOR ,,No,11,Part Time,1,,,2,1,3,"3,0",5,9,Life Sciences,4,"53914,11$","4492,84$",556.2566609977324,13,39,2,1,2,"3,0",6,"13,0"
117,0,1988,35,Married,16, Sales ExEcUTIvE ,,No,11,Part Time,1,travel_rarely,,3,2,3,"3,0",6,9,,3,"80200,00$","6683,33$",827.4603174603175,15,3,3,2,3,"2,0",0,"12,0"
118,0,1978,45,,7, LaboRaTOrY techNiciaN ,,No,24,Part Time,Yes,travel_frequently,,3,1,2,"3,0",9,11,Life Sciences,3,"100071,84$","8339,32$",1032.4872861766066,18,1,3,1,1,"3,0",1,"24,0"
119,0,1984,39,Married,10, ManageR ,,No,21,Full Time,Yes,,,4,0,3,,11,10,,1,"170680,00$",,1760.9841269841272,14,3,3,1,4,"3,0",1,"21,0"
120,1,1992,31,Married,7, MANufacTUrinG diREcTor ,,No,10,Part Time,False,,No,3,1,2,"4,0",8,9,,2,"89430,00$","7452,50$",922.6904761904764,24,3,2,3,1,"3,0",1,"10,0"
121,0,1984,39,Married,7, manAgER , Research & Development ,No,21,Full Time,True,,,5,1,2,"3,0",13,3,,2,"192720,00$","16060,00$",1988.3809523809523,15,3,2,4,1,"3,0",1,
122,0,1978,45,,8, RESearCH scienTIST ,,No,10,Part Time,True,travel_rarely,No,2,2,3,"3,0",9,8,,4,"53914,11$","4492,84$",556.2566609977324,14,4,3,4,1,"3,0",9,"12,0"
123,1,1993,30,,5, SaLES eXeCUtIVE , Sales ,No,10,,Yes,travel_rarely,,2,3,2,"3,0",1,2,Marketing,3,,"4492,84$",556.2566609977324,13,4,2,3,3,"3,0",1,"10,0"
124,1,1992,31,,7, maNUfActuRinG diRectOR ,,No,11,Part Time,False,,,3,0,2,"3,0",4,10,Medical,4,"100071,84$","8339,32$",1032.4872861766066,14,3,3,4,3,"2,0",1,"11,0"
125,0,1987,36,Married,3, SAles exEcUtivE ,,No,13,Part Time,True,,No,3,1,2,"3,0",1,12,Medical,4,"100071,84$","8339,32$",1032.4872861766066,11,1,2,4,1,"3,0",4,"16,0"
126,0,1987,36,Married,2, saLes eXECUTIVE ,,No,10,Part Time,True,travel_rarely,,3,2,2,"3,0",9,0,,2,"100071,84$",,1032.4872861766066,13,2,2,3,2,"3,0",1,"10,0"
127,1,1968,55,Single,18, MAnAgER ,,No,10,Full Time,1,travel_rarely,No,4,0,2,"4,0",7,7,,5,"153407,07$","12783,92$",1582.7713464696226,23,1,3,2,4,"3,0",3,"37,0"
128,0,1988,35,,1, SAles exEcutiVE ,,No,11,Part Time,1,,,2,0,2,"3,0",6,9,,3,"53914,11$","4492,84$",556.2566609977324,11,2,3,3,3,"3,0",9,"15,0"
