employee_number,gender,birth_year,age,marital_status,dist_home,job_title,department,departured,year_at_comp,standard_hours,remote,business_travel,over_time,job_level,stock_opt_level,traning_times_last_year,perf_rate,year_last_promotion,year_current_mngr,education_field,education_scale,annual_salary,monthly_income,daily_rate,perc_salary_hike,env_sat_rate,job_involvement,job_sat_rate,relationship_sat_rate,work_life_balance,num_comp_worked,tot_working_year
72,F,1973,50.0,Unknown,17,Research Director,Research & Development,No,14,Part Time,No,Unknown,No,3,3,3,3,1,11,Life Sciences,5,100071.84,8339.32,1032.4872861766066,15,4,2,1,3,3,5,
73,F,1974,49.0,Unknown,6,Healthcare Representative,Research & Development,No,15,Full Time,Yes,Unknown,Unknown,4,1,3,3,2,12,Life Sciences,1,153407.07,12783.92,1582.7713464696226,19,3,2,3,2,3,2,
74,M,1985,38.0,Unknown,1,Research Scientist,Research & Development,No,13,Part Time,Yes,travel_frequently,No,2,2,4,3,2,9,Life Sciences,3,47350.0,3928.89,488.531746031746,15,4,3,4,4,,7,19
75,M,1990,33.0,Unknown,21,Laboratory Technician,Research & Development,No,14,Part Time,Yes,Unknown,No,1,3,6,3,2,13,Unknown,3,28111.13,2342.59,290.03550973654063,18,2,4,2,4,,1,14
76,F,1976,47.0,Divorced,4,Manufacturing Director,Research & Development,No,22,Part Time,Yes,travel_rarely,Yes,3,1,4,,14,10,Life Sciences,3,100071.84,8339.32,1032.4872861766066,12,3,2,2,3,3,8,
77,F,1985,38.0,Divorced,8,Research Scientist,Research & Development,No,20,,No,Unknown,Unknown,2,1,3,3,0,7,Unknown,3,53914.11000000001,4492.84,556.2566609977324,16,4,2,2,3,3,1,20
78,F,1986,37.0,Unknown,10,Research Director,Research & Development,No,16,Part Time,Yes,travel_rarely,Yes,3,1,2,4,6,8,Life Sciences,3,100071.84,8339.32,1032.4872861766066,25,3,4,4,1,3,1,16
79,M,1993,30.0,Married,2,Healthcare Representative,Research & Development,No,11,Part Time,Yes,Unknown,No,2,3,3,,10,8,Unknown,3,53914.11,4492.84,556.2566609977324,19,3,2,4,1,3,1,11
80,M,1965,58.0,Single,18,Sales Executive,Sales,No,37,Full Time,Yes,travel_rarely,Unknown,4,0,1,3,1,8,Unknown,4,138720.0,11560.0,1431.2380952380954,13,4,3,3,3,2,0,38
81,F,1989,34.0,Single,5,Manager,Unknown,No,11,,No,travel_rarely,Unknown,3,0,6,3,5,8,Unknown,3,100071.84000000001,8339.32,1032.4872861766066,12,3,2,1,4,3,2,14
82,F,1965,58.0,Married,23,Healthcare Representative,Research & Development,Yes,40,Part Time,Yes,travel_rarely,Unknown,3,1,3,3,15,6,Medical,4,100071.84,8339.32,1032.4872861766066,12,4,3,4,4,2,1,40
83,M,1985,38.0,Divorced,3,Sales Executive,Sales,No,16,,Yes,Unknown,Unknown,3,2,6,3,5,13,Life Sciences,3,100071.84000000001,8339.32,1032.4872861766066,12,1,3,3,3,2,0,
84,F,1994,29.0,Married,1,Sales Executive,Sales,No,11,Part Time,Yes,travel_frequently,Unknown,3,1,5,3,4,1,Unknown,1,100071.84,8339.32,1032.4872861766066,14,2,3,4,4,3,1,11
85,M,1968,55.0,Single,1,Manager,Unknown,No,36,Full Time,Yes,travel_rarely,Unknown,5,0,2,3,4,13,Medical,3,190450.0,15870.83,1964.9603174603176,14,4,3,1,3,3,0,37
86,M,1982,41.0,Unknown,10,Manager,Unknown,No,22,,Yes,Unknown,Unknown,4,0,2,3,0,4,Unknown,4,160236.66666666666,13345.83,1652.34126984127,19,4,3,2,2,3,1,
87,M,1984,39.0,Unknown,1,Healthcare Representative,Research & Development,No,18,Part Time,No,travel_rarely,No,3,3,5,,3,7,Unknown,3,96130.0,8010.83,991.8174603174604,17,3,4,4,1,2,0,19
88,M,1985,38.0,Unknown,15,Research Director,Research & Development,No,11,Full Time,Yes,Unknown,Unknown,3,1,3,3,2,9,Life Sciences,2,115100.0,9352.776666666667,1187.5396825396826,14,3,2,4,2,3,0,
89,M,1980,43.0,Unknown,12,Research Director,Research & Development,No,25,Full Time,Yes,Unknown,No,4,1,3,3,3,9,Unknown,3,153407.07,12783.92,1582.7713464696226,11,1,2,2,3,,1,
90,F,1992,31.0,Married,30,Manufacturing Director,Research & Development,No,13,,Yes,Unknown,No,2,1,5,3,3,12,Unknown,2,43076.666666666664,3588.33,444.26984126984127,12,2,3,1,2,1,1,13
91,M,1973,50.0,Married,27,Manager,Research & Development,No,27,Full Time,Yes,travel_rarely,No,4,1,2,3,15,7,Life Sciences,4,170460.0,14205.0,1758.7142857142858,15,27,2,3,2,3,0,28
92,M,1988,35.0,Married,25,Manufacturing Director,Research & Development,No,13,Part Time,No,Unknown,No,3,0,2,,4,8,Technical Degree,3,100071.84,8339.32,1032.4872861766066,16,4,2,2,1,3,3,
93,M,1976,47.0,Unknown,16,Manufacturing Director,Research & Development,No,19,,Yes,Unknown,Yes,2,0,3,3,2,7,Unknown,4,50653.333333333336,4222.5,522.7857142857143,19,3,4,3,3,,1,20
94,F,1988,35.0,Divorced,25,Healthcare Representative,Research & Development,No,16,Part Time,Yes,Unknown,Yes,3,1,3,,10,1,Unknown,4,100071.84,8339.32,1032.4872861766066,11,3,3,3,3,2,1,
95,M,1983,40.0,Married,20,Healthcare Representative,Research & Development,No,11,Part Time,Yes,travel_rarely,Unknown,3,1,6,4,11,1,Unknown,4,100071.84,8339.32,1032.4872861766066,20,1,3,4,4,3,4,14
96,F,1978,45.0,Married,9,Sales Executive,Sales,No,15,Part Time,No,Unknown,Unknown,2,1,2,3,4,12,Life Sciences,4,53914.11,4492.84,556.2566609977324,13,2,2,3,4,3,1,15
97,M,1990,33.0,Married,9,Research Scientist,Research & Development,No,14,,No,Unknown,Unknown,1,1,5,3,4,10,Medical,3,28111.13,2342.59,290.03550973654063,13,1,3,4,2,3,0,15
98,M,1987,36.0,Married,3,Research Scientist,Research & Development,No,11,Full Time,No,travel_frequently,No,1,0,2,3,0,7,Unknown,3,36920.0,3076.67,380.9206349206349,12,3,3,2,3,2,1,12
99,F,1978,45.0,Unknown,13,Manager,Unknown,Yes,24,Full Time,Yes,Unknown,Yes,5,0,2,3,1,11,Marketing,3,191324.62,15943.72,1973.9841269841268,16,1,1,2,1,3,2,26
100,M,1972,51.0,Unknown,27,Manager,Unknown,No,29,Full Time,No,travel_frequently,Yes,5,1,5,,11,10,Unknown,3,198470.0,16125.406666666668,2047.7063492063487,24,27,3,2,1,2,4,
101,M,1989,34.0,Unknown,7,Sales Representative,Sales,No,11,Part Time,No,travel_rarely,Yes,1,1,4,4,5,7,Technical Degree,2,23080.0,1923.0566666666666,238.12698412698413,25,2,3,3,2,3,0,12
102,M,1980,43.0,Unknown,15,Research Director,Research & Development,No,14,Full Time,Yes,travel_rarely,No,4,1,3,4,6,11,Unknown,2,153407.07,12783.92,1582.7713464696226,24,3,2,3,1,3,1,
103,M,1989,34.0,Unknown,5,Laboratory Technician,Research & Development,No,15,Part Time,No,Unknown,No,2,1,3,3,4,13,Medical,2,53914.11,4492.84,556.2566609977324,14,2,2,4,3,,1,
104,M,1985,38.0,Divorced,2,Human Resources,Human Resources,No,11,Part Time,Yes,Unknown,No,1,3,3,3,3,8,Unknown,3,28111.13,2342.59,290.03550973654063,13,1,3,2,4,3,5,13
105,M,1975,48.0,Unknown,10,Research Director,Research & Development,No,22,Full Time,No,Unknown,No,5,0,3,3,12,9,Unknown,3,191324.62,15943.72,1973.9841269841268,12,4,2,2,4,3,4,29
106,M,1989,34.0,Married,22,Research Scientist,Research & Development,No,15,Full Time,No,Unknown,Yes,2,0,3,3,6,11,Other,4,57470.0,4789.17,592.9444444444445,15,3,2,4,2,3,1,16
107,F,1991,32.0,Unknown,31,Sales Executive,Sales,No,14,Full Time,Yes,travel_rarely,No,3,2,3,3,5,7,Unknown,4,104220.0,8685.0,1075.2857142857142,19,31,3,4,3,3,1,14
108,F,1994,29.0,Divorced,21,Manufacturing Director,Research & Development,No,10,,No,travel_rarely,No,3,1,1,3,8,8,Life Sciences,4,100071.84000000001,8339.32,1032.4872861766066,11,2,4,1,3,3,1,10
109,M,1977,46.0,Married,1,Healthcare Representative,Research & Development,No,10,,No,Unknown,Yes,3,1,5,3,9,5,Medical,3,100071.84,8339.32,1032.4872861766066,13,3,2,1,3,2,2,21
110,M,1993,30.0,Married,9,Human Resources,Human Resources,No,11,Full Time,No,Unknown,Yes,2,0,2,3,4,7,Unknown,3,63470.0,5289.17,654.8492063492064,19,3,3,4,4,1,0,
111,M,1978,45.0,Unknown,9,Laboratory Technician,Research & Development,No,17,Part Time,Yes,Unknown,No,2,1,2,3,0,15,Life Sciences,3,23480.0,1956.67,242.25396825396828,18,2,3,2,3,,8,20
112,F,1993,30.0,Unknown,5,Sales Executive,Sales,No,10,Part Time,Yes,travel_rarely,No,3,1,2,3,7,4,Unknown,3,100071.84,8339.32,1032.4872861766066,12,2,3,4,3,3,2,
113,M,1993,30.0,Unknown,9,Laboratory Technician,Research & Development,No,12,Part Time,Yes,Unknown,No,2,2,4,,6,10,Unknown,3,30720.0,2566.1133333333332,316.95238095238096,11,3,3,1,3,3,1,12
114,M,1989,34.0,Married,29,Manufacturing Director,Research & Development,No,10,,No,travel_frequently,Unknown,2,0,2,3,1,9,Unknown,1,53914.11000000001,4492.84,556.2566609977324,17,4,2,3,3,2,1,10
115,M,1972,51.0,Married,8,Research Director,Research & Development,No,10,Full Time,No,travel_rarely,No,3,2,5,3,4,7,Life Sciences,4,124900.0,10408.33,1288.6507936507935,16,2,2,2,4,1,5,16
116,M,1989,34.0,Unknown,39,Manufacturing Director,Research & Development,No,11,Part Time,Yes,Unknown,Unknown,2,1,3,3,5,9,Life Sciences,4,53914.11,4492.84,556.2566609977324,13,39,2,1,2,3,6,13
117,M,1988,35.0,Married,16,Sales Executive,Sales,No,11,Part Time,Yes,travel_rarely,Unknown,3,2,3,3,6,9,Unknown,3,80200.0,6683.33,827.4603174603175,15,3,3,2,3,2,0,12
118,M,1978,45.0,Unknown,7,Laboratory Technician,Research & Development,No,24,Part Time,Yes,travel_frequently,Unknown,3,1,2,3,9,11,Life Sciences,3,100071.84,8339.32,1032.4872861766066,18,1,3,1,1,3,1,24
119,M,1984,39.0,Married,10,Manager,Unknown,No,21,Full Time,Yes,Unknown,Unknown,4,0,3,,11,10,Unknown,1,170680.0,13859.166666666666,1760.9841269841272,14,3,3,1,4,3,1,21
120,F,1992,31.0,Married,7,Manufacturing Director,Research & Development,No,10,Part Time,No,Unknown,No,3,1,2,4,8,9,Unknown,2,89430.0,7452.5,922.6904761904764,24,3,2,3,1,3,1,10
121,M,1984,39.0,Married,7,Manager,Research & Development,No,21,Full Time,Yes,Unknown,Unknown,5,1,2,3,13,3,Unknown,2,192720.0,16060.0,1988.3809523809523,15,3,2,4,1,3,1,
122,M,1978,45.0,Unknown,8,Research Scientist,Research & Development,No,10,Part Time,Yes,travel_rarely,No,2,2,3,3,9,8,Unknown,4,53914.11,4492.84,556.2566609977324,14,4,3,4,1,3,9,12
123,F,1993,30.0,Unknown,5,Sales Executive,Sales,No,10,,Yes,travel_rarely,Unknown,2,3,2,3,1,2,Marketing,3,53914.11000000001,4492.84,556.2566609977324,13,4,2,3,3,3,1,10
124,F,1992,31.0,Unknown,7,Manufacturing Director,Research & Development,No,11,Part Time,No,Unknown,Unknown,3,0,2,3,4,10,Medical,4,100071.84,8339.32,1032.4872861766066,14,3,3,4,3,2,1,11
125,M,1987,36.0,Married,3,Sales Executive,Sales,No,13,Part Time,Yes,Unknown,No,3,1,2,3,1,12,Medical,4,100071.84,8339.32,1032.4872861766066,11,1,2,4,1,3,4,16
126,M,1987,36.0,Married,2,Sales Executive,Sales,No,10,Part Time,Yes,travel_rarely,Unknown,3,2,2,3,9,0,Unknown,2,100071.84,8339.32,1032.4872861766066,13,2,2,3,2,3,1,10
127,F,1968,55.0,Single,18,Manager,Unknown,No,10,Full Time,Yes,travel_rarely,No,4,0,2,4,7,7,Unknown,5,153407.07,12783.92,1582.7713464696226,23,1,3,2,4,3,3,37
128,M,1988,35.0,Unknown,1,Sales Executive,Sales,No,11,Part Time,Yes,Unknown,Unknown,2,0,2,3,6,9,Unknown,3,53914.11,4492.84,556.2566609977324,11,2,3,3,3,3,9,15
129,M,1981,42.0,Married,24,Manufacturing Director,Research & Development,No,10,Part Time,No,travel_rarely,Unknown,3,1,5,4,5,8,Medical,3,100071.84,8339.32,1032.4872861766066,21,4,3,1,4,2,1,10
130,M,1971,52.0,Divorced,6,Research Scientist,Research & Development,No,10,Full Time,Yes,travel_rarely,Yes,2,2,3,,6,9,Unknown,2,55770.0,4647.5,575.4047619047619,12,4,3,1,2,3,3,18
